feature_type,model,with_hypertuning,best_params,accuracy,sensitivity,specificity,precision,f1,mcc,index
DPC,SVC,False,None,0.8912899642615667,0.8857142857142857,0.9318181818181818,0.9234042553191489,0.9041666666666667,0.8193714026896532,DPC_SVC_no_hypertuning
DPC,XGBClassifier,False,None,0.8706461895102869,0.8979591836734694,0.9128787878787878,0.9053497942386831,0.9016393442622951,0.8111013589139393,DPC_XGBClassifier_no_hypertuning
DPC,LGBMClassifier,False,None,0.8686564280884769,0.8775510204081632,0.9015151515151515,0.8921161825726142,0.8847736625514404,0.7796208305487518,DPC_LGBMClassifier_no_hypertuning
DPC,LogisticRegression,True,"{'C': 0.09979066114998196, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 727}",0.8919449901768173,0.889795918367347,0.8939393939393939,0.8861788617886179,0.8879837067209776,0.7836262809845077,DPC_LogisticRegression_with_hypertuning
DPC,SVC,True,"{'svc_c': 48.97185920584053, 'svc_gamma': 0.0884268416906478}",0.5304518664047151,0.02857142857142857,0.9962121212121212,0.875,0.05533596837944663,0.09955994781707601,DPC_SVC_with_hypertuning
DPC,XGBClassifier,True,"{'learning_rate': 0.21210841793732604, 'max_depth': 6, 'n_estimators': 649}",0.9174852652259332,0.9102040816326531,0.9242424242424242,0.9176954732510288,0.9139344262295082,0.8347175620803343,DPC_XGBClassifier_with_hypertuning
DPC,LGBMClassifier,True,"{'num_leaves': 62, 'max_depth': 44, 'learning_rate': 0.21611453851253923, 'n_estimators': 484}",0.9194499017681729,0.9061224489795918,0.9318181818181818,0.925,0.9154639175257733,0.8387190244916737,DPC_LGBMClassifier_with_hypertuning
PAAC,LogisticRegression,False,None,0.8714797834463249,0.8734693877551021,0.8888888888888888,0.8806584362139918,0.8770491803278688,0.7625729649829818,PAAC_LogisticRegression_no_hypertuning
PAAC,SVC,False,None,0.8823489245476273,0.8775510204081632,0.9540229885057471,0.947136563876652,0.9110169491525425,0.8355821858522258,PAAC_SVC_no_hypertuning
PAAC,XGBClassifier,False,None,0.8808979173779447,0.8693877551020408,0.896551724137931,0.8875,0.8783505154639174,0.7665691048943736,PAAC_XGBClassifier_no_hypertuning
PAAC,LGBMClassifier,False,None,0.8848388040774522,0.8816326530612245,0.9042145593869731,0.8962655601659751,0.888888888888889,0.7863392511361172,PAAC_LGBMClassifier_no_hypertuning
PAAC,LogisticRegression,True,"{'C': 0.07140778733444259, 'penalty': 'l1', 'solver': 'liblinear', 'max_iter': 344}",0.8853754940711462,0.8857142857142857,0.8850574712643678,0.8785425101214575,0.8821138211382112,0.770603061035075,PAAC_LogisticRegression_with_hypertuning
PAAC,SVC,True,"{'svc_c': 3.114257154045845, 'svc_gamma': 0.01833678313630284}",0.9150197628458498,0.8979591836734694,0.9310344827586207,0.9243697478991597,0.9109730848861284,0.8300392567315684,PAAC_SVC_with_hypertuning
PAAC,XGBClassifier,True,"{'learning_rate': 0.16656707795533288, 'max_depth': 4, 'n_estimators': 685}",0.9071146245059288,0.8979591836734694,0.9157088122605364,0.9090909090909091,0.9034907597535935,0.8140308867404644,PAAC_XGBClassifier_with_hypertuning
PAAC,LGBMClassifier,True,"{'num_leaves': 60, 'max_depth': 21, 'learning_rate': 0.1946220094042559, 'n_estimators': 1160}",0.9090909090909091,0.8979591836734694,0.9195402298850575,0.9128630705394191,0.9053497942386831,0.818011270484976,PAAC_LGBMClassifier_with_hypertuning
